year,age,tm,pos,no.,games_g,games_gs,0-19_fga,0-19_fgm,20-29_fga,20-29_fgm,30-39_fga,30-39_fgm,40-49_fga,40-49_fgm,50+_fga,50+_fgm,scoring_fga,scoring_fgm,lng,scoring_fg%,scoring_xpa,scoring_xpm,scoring_xp%,kickoffs_ko,kickoffs_koyds,kickoffs_tb,kickoffs_tb%,kickoffs_koavg,name,link,playoff_stat,av,tot_fga,tot_fgm,tot_lng,fg%,pat_xpa,pat_xpm,xp%,awards
2012.0,23,CAR,P,8.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,68.0,,,68.0,Brad Nortman,https://www.pro-football-reference.com/players/N/NortBr00.htm,False,,,,,,,,,
2013.0,24,CAR,P,8.0,16,0.0,,,,,,,,,,,,,,,,,,2.0,120.0,,,60.0,Brad Nortman,https://www.pro-football-reference.com/players/N/NortBr00.htm,False,,,,,,,,,
2015.0,26,CAR,P,8.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,51.0,,,51.0,Brad Nortman,https://www.pro-football-reference.com/players/N/NortBr00.htm,False,,,,,,,,,
2016.0,27,JAX,P,3.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,54.0,,,54.0,Brad Nortman,https://www.pro-football-reference.com/players/N/NortBr00.htm,False,,,,,,,,,
2005.0,24,2TM,K,,10,0.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,,,10.0,8.0,40.0,80.0%,15.0,15.0,100.0%,30.0,1695.0,,,56.5,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,1.0,,,,,,,,
2006.0,25,WAS,K,3.0,6,0.0,,,1.0,1.0,3.0,1.0,6.0,3.0,,,10.0,5.0,47.0,50.0%,10.0,10.0,100.0%,20.0,1202.0,,,60.1,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,-1.0,,,,,,,,
2008.0,27,KAN,K,9.0,6,0.0,,,3.0,3.0,3.0,1.0,3.0,2.0,1.0,,10.0,6.0,43.0,60.0%,7.0,7.0,100.0%,17.0,1079.0,,,63.5,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,0.0,,,,,,,,
2011.0,30,SDG,K,9.0,15,0.0,,,11.0,11.0,5.0,4.0,11.0,8.0,7.0,4.0,34.0,27.0,53.0,79.4%,42.0,41.0,97.6%,86.0,5551.0,30.0,34.9%,64.5,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,3.0,,,,,,,,
2012.0,31,SDG,K,9.0,13,0.0,1.0,1.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,2.0,20.0,18.0,51.0,90.0%,33.0,33.0,100.0%,62.0,3951.0,22.0,35.5%,63.7,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,3.0,,,,,,,,
2013.0,32,SDG,K,9.0,16,0.0,1.0,1.0,9.0,9.0,16.0,13.0,9.0,9.0,2.0,2.0,37.0,34.0,50.0,91.9%,42.0,42.0,100.0%,92.0,6031.0,18.0,19.6%,65.6,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,4.0,,,,,,,,
2014.0,33,SDG,K,9.0,16,0.0,1.0,1.0,6.0,6.0,9.0,8.0,6.0,4.0,4.0,3.0,26.0,22.0,52.0,84.6%,40.0,40.0,100.0%,78.0,4751.0,10.0,12.8%,60.9,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,3.0,,,,,,,,
2015.0,34,HOU,K,8.0,13,0.0,,,6.0,6.0,6.0,6.0,4.0,4.0,5.0,2.0,21.0,18.0,51.0,85.7%,31.0,29.0,93.5%,62.0,4006.0,23.0,37.1%,64.6,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,3.0,,,,,,,,
2016.0,35,HOU,K,8.0,16,0.0,1.0,1.0,12.0,12.0,11.0,11.0,11.0,8.0,6.0,3.0,41.0,35.0,53.0,85.4%,25.0,22.0,88.0%,74.0,4444.0,23.0,31.1%,60.1,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,3.0,,,,,,,,
