player_id,team_id,name,year,age,team,pos,no.,games_g,games_gs,punting_pnt,punting_yds,punting_y/p,punting_retyds,punting_net,punting_ny/p,punting_lng,punting_tb,punting_tb%,punting_in20,punting_in20%,punting_blck,av,playoff_stat,punting_netyds,punting_pnt20,awards
WaitCo00,den,Corliss Waitman,2022.0,27,DEN,P,17.0,17.0,0.0,96,4470,46.6,376.0,,41.4,59,6.0,6.3%,,31.3%,0,3.0,False,3974.0,30.0,
McMaBr01,den,Brandon McManus,2015.0,24,DEN,K,8.0,16.0,0.0,1,41,41.0,0.0,21.0,21.0,41,1.0,100.0%,0.0,0.0%,0,,False,,,
McMaBr01,den,Brandon McManus,2017.0,26,DEN,K,8.0,16.0,0.0,1,26,26.0,0.0,26.0,26.0,26,0.0,0.0%,1.0,100.0%,0,,False,,,
KernBr20,den,Brett Kern,2008.0,22,DEN,P,1.0,16.0,0.0,46,2150,46.7,330.0,1740.0,37.8,64,4.0,8.7%,13.0,28.3%,0,3.0,False,,,
ColqBr00,den,Britton Colquitt,2010.0,25,DEN,P,4.0,16.0,0.0,86,3835,44.6,550.0,3145.0,36.6,63,7.0,8.1%,19.0,22.1%,0,3.0,False,,,
ColqBr00,den,Britton Colquitt,2011.0,26,DEN,P,4.0,16.0,0.0,101,4783,47.4,585.0,4058.0,40.2,66,7.0,6.9%,33.0,32.7%,0,3.0,False,,,
ColqBr00,den,Britton Colquitt,2012.0,27,DEN,P,4.0,16.0,0.0,67,3099,46.3,203.0,2822.0,42.1,67,4.0,6.0%,27.0,40.3%,0,2.0,False,,,
ColqBr00,den,Britton Colquitt,2013.0,28,DEN,P,4.0,16.0,0.0,65,2893,44.5,274.0,2559.0,38.8,60,3.0,4.6%,23.0,35.4%,1,2.0,False,,,
ColqBr00,den,Britton Colquitt,2014.0,29,DEN,P,4.0,16.0,0.0,69,3048,44.2,371.0,2597.0,37.6,65,4.0,5.8%,25.0,36.2%,0,2.0,False,,,
ColqBr00,den,Britton Colquitt,2015.0,30,DEN,P,4.0,16.0,0.0,84,3663,43.6,247.0,3336.0,39.7,62,4.0,4.8%,22.0,26.2%,0,2.0,False,,,
DixoRi00,den,Riley Dixon,2016.0,23,DEN,P,9.0,16.0,0.0,89,4068,45.7,271.0,,41.3,68,6.0,6.7%,,31.5%,0,2.0,False,3677.0,28.0,
DixoRi00,den,Riley Dixon,2017.0,24,DEN,P,9.0,16.0,0.0,73,3331,45.6,258.0,,40.2,60,3.0,4.1%,,31.5%,2,2.0,False,3013.0,23.0,
DixoRi00,den,Riley Dixon,2023.0,30,DEN,P,9.0,17.0,0.0,79,3659,46.3,263.0,,41.5,68,6.0,7.6%,,34.2%,0,2.0,False,3276.0,27.0,
DixoRi00,den,Riley Dixon,2024.0,31,DEN,P,9.0,2.0,0.0,14,704,50.3,37.0,,46.2,65,1.0,7.1%,,50.0%,0,,False,647.0,7.0,
