week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
1.0,2,0,1,67431.0,outdoors,59.4390243902439,11.0,63.0,179.0,-27.65423611111109,103.96606909430444,0.2419532139878857,-27.365083418239443
2.0,2,0,0,65971.0,outdoors,59.4390243902439,1.0,78.0,191.0,104.17720626908296,53.315395721925086,2.6685809231357585,-8.547167625290312
3.0,2,1,1,61172.0,outdoors,59.4390243902439,5.0,89.0,201.0,118.07450389610388,105.30339141414136,9.204866742755712,-19.205093021668876
4.0,2,0,1,71126.0,outdoors,59.4390243902439,6.0,64.0,196.0,75.02466508026134,104.36458047945196,-2.8320468817913804,-16.951408551373053
5.0,2,0,0,66237.0,outdoors,59.4390243902439,9.0,73.0,181.0,105.3768215871374,81.28774223866118,-2.307642089744144,-21.58095223089516
6.0,2,0,1,76994.0,outdoors,59.4390243902439,14.0,60.0,174.0,60.65737090820137,105.39890229885054,6.743333280685503,-11.650313871085109
7.0,2,0,0,65363.0,outdoors,59.4390243902439,6.0,79.0,183.0,107.4734388938448,88.37839329083184,2.893040160767404,-18.981110420372
8.0,2,0,1,64983.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,182.0,66.40787124060147,110.31169931763154,3.258061404386903,-17.19830002413161
10.0,2,0,1,66146.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,186.0,52.15728936710308,108.62390097259058,8.125456271240438,-5.070931546224937
11.0,5,0,0,60703.0,outdoors,59.4390243902439,17.0,40.0,197.0,108.7641934468435,49.30554298642529,4.356141225176796,-15.443254367468477
12.0,2,0,0,62147.0,outdoors,59.4390243902439,7.0,38.0,184.0,108.96880122950824,75.25417842665755,1.7859267007262805,-28.865984133929693
13.0,1,0,1,56029.0,outdoors,59.4390243902439,9.0,61.0,205.0,75.04809851551957,110.46889884508155,-7.789766081496062,-6.00163081943332
14.0,2,0,0,60069.0,outdoors,59.4390243902439,12.0,33.0,209.0,110.22310298102984,74.59286693191862,2.553598816550987,-13.168823961689116
