,game_id,boxscore_stub,week_ind,day_int,attendance,roof_type,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,score_home_test,score_opp_test,score_home_pred,score_opp_pred
2077,dal_nyj_2023-09-17,/boxscores/202309170dal.htm,2.0,2,93689.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,38.5,-8.0,0,80.66466942521522,18.23467782217778,-28.580031308654945,22.737292270861204,30.0,10.0,25.989748409066593,15.643470585141799
2078,nyj_nwe_2023-09-24,/boxscores/202309240nyj.htm,3.0,2,80876.0,outdoors,90.0,14.0,64.0,35.5,-2.0,0,14.142912457912502,105.08919222474388,-26.799575506588894,7.834571808304616,10.0,15.0,18.147736165230366,20.588492748064144
2079,nyj_kan_2023-10-01,/boxscores/202310010nyj.htm,4.0,2,80461.0,outdoors,71.0,5.0,69.0,41.5,-9.0,0,10.277371917372008,93.16822473974278,-19.305132486784068,-2.513721173146477,20.0,23.0,19.431483470021163,22.190849851698825
2080,den_nyj_2023-10-08,/boxscores/202310080den.htm,5.0,2,76387.0,outdoors,17.0,9.0,73.0,42.5,-2.0,0,105.39753962823572,9.894141876430185,-20.123932654071165,-0.3805880929925946,21.0,31.0,22.685594545493558,18.227604802060952
2081,nyj_phi_2023-10-15,/boxscores/202310150nyj.htm,6.0,2,83068.0,outdoors,54.0,11.0,59.0,43.5,-6.0,0,14.160432692307694,140.91883375843963,-4.423881762510391,-0.3912373364561157,20.0,14.0,19.667179532416473,22.992206149765106
2082,nyg_nyj_2023-10-29,/boxscores/202310290nyg.htm,8.0,2,83367.0,outdoors,89.0,6.0,52.0,34.5,-3.0,1,23.36869391025644,12.966100000000075,-33.67307782450136,-1.3498456267568184,10.0,13.0,21.958388773147284,19.15566464776247
2083,nyj_sdg_2023-11-06,/boxscores/202311060nyj.htm,9.0,1,75407.0,outdoors,83.0,4.0,48.0,41.0,-3.0,0,15.742990243902447,79.56868786386033,-20.19983380416287,-18.491859020499884,6.0,27.0,21.257418272562386,21.97448357209145
2084,rai_nyj_2023-11-12,/boxscores/202311120rai.htm,10.0,2,62383.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,35.5,-1.0,1,146.36,18.45566605222735,-45.38096100994088,-14.62832747437454,16.0,12.0,21.469490132366843,17.808840687375593
2085,nyj_atl_2023-12-03,/boxscores/202312030nyj.htm,13.0,2,74455.0,outdoors,90.0,8.0,50.0,33.5,-2.0,0,11.872377450980409,26.83532892267263,-21.65412747865593,-19.37768226567105,8.0,13.0,22.09261363039493,18.194868976294394
2086,nyj_htx_2023-12-10,/boxscores/202312100nyj.htm,14.0,2,72956.0,outdoors,94.0,7.0,58.0,33.0,-3.0,0,14.420265527950365,101.48352380952385,-28.59709031859078,-9.650731172194543,30.0,6.0,19.2349043696575,19.51421101954719
2087,nyj_was_2023-12-24,/boxscores/202312240nyj.htm,16.0,2,67470.0,outdoors,80.0,2.0,45.0,37.5,-3.0,1,16.997415540540544,71.16269455573234,4.816600143412818,-22.29832462648885,30.0,28.0,22.02291560681172,19.571648684291862
2088,cle_nyj_2023-12-28,/boxscores/202312280cle.htm,17.0,5,67919.0,outdoors,76.0,6.0,47.0,35.0,-7.0,0,95.20970961857388,20.99398162894923,-28.545373655599327,-3.7356887250144086,37.0,20.0,23.639644192629433,16.87890211946982
2089,nwe_nyj_2024-01-07,/boxscores/202401070nwe.htm,18.0,2,64628.0,outdoors,98.0,14.0,33.0,29.5,-1.0,0,100.0735607751623,20.27867948717945,-12.55304520795606,4.712361282779862,3.0,17.0,21.38260412489244,14.448426989931205
2090,dal_nwe_2023-10-01,/boxscores/202310010dal.htm,4.0,2,93719.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,43.5,-6.0,0,81.80963813068657,105.94973386889204,-9.270395864360088,4.737066361863697,38.0,3.0,25.280494073727773,21.98400687129649
2091,nwe_nor_2023-10-08,/boxscores/202310080nwe.htm,5.0,2,64628.0,outdoors,52.0,10.0,61.0,38.5,-1.0,1,104.84472914584371,46.03534026567943,-12.029417884422427,4.9244287333765815,0.0,34.0,20.788488831139563,16.820118308130013
2092,rai_nwe_2023-10-15,/boxscores/202310150rai.htm,6.0,2,61985.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,42.5,-2.0,0,42.93593773873182,103.62923762705012,-13.698097385770843,-13.993056316110104,21.0,17.0,21.37426331723372,22.150272630405894
2093,nwe_was_2023-11-05,/boxscores/202311050nwe.htm,9.0,2,64628.0,outdoors,51.0,6.0,62.0,40.5,-2.0,1,101.65580697278916,73.36764280073702,-15.427563126933878,6.233713538806839,17.0,20.0,22.57541210117414,20.34903390238161
2094,nwe_clt_2023-11-12,/boxscores/202311120nwe.htm,10.0,2,50144.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,41.5,-2.0,0,100.8971155187064,48.552777777777706,-13.171925054057937,-8.276326270834202,6.0,10.0,22.829984654141747,19.831191372744566
2095,nyg_nwe_2023-11-26,/boxscores/202311260nyg.htm,12.0,2,82211.0,outdoors,65.0,6.0,43.0,34.0,-4.0,1,4.259722222222173,101.1098389319652,-42.43725004189159,5.492881051818014,10.0,7.0,17.946447619024404,23.177150559406652
2096,nwe_sdg_2023-12-03,/boxscores/202312030nwe.htm,13.0,2,64628.0,outdoors,94.0,8.0,44.0,39.0,-5.0,0,101.27482580343076,72.45370963874683,-22.36690442455597,1.2096352024245878,0.0,6.0,22.443297568226175,17.62950114982345
2097,pit_nwe_2023-12-07,/boxscores/202312070pit.htm,14.0,5,66376.0,outdoors,71.0,5.0,42.0,30.0,-6.0,0,86.98272185216209,101.15028501344084,-23.31154239619758,-24.525340229530467,18.0,21.0,21.137523136036698,17.89392505152061
2098,nwe_kan_2023-12-17,/boxscores/202312170nwe.htm,15.0,1,64628.0,outdoors,74.0,7.0,53.0,37.0,-8.0,0,101.1819250070343,94.39986934063576,-15.937834448764551,-2.384874288982329,17.0,27.0,22.494533861296667,18.708425394174075
2099,den_nwe_2023-12-24,/boxscores/202312240den.htm,16.0,2,76201.0,outdoors,50.0,9.0,28.0,35.0,-7.0,0,99.24842368094778,100.32229257098936,-26.043584731732413,3.181879018121414,23.0,26.0,22.111555272027033,18.946948204778227
2100,cin_rav_2023-09-17,/boxscores/202309170cin.htm,2.0,2,66015.0,outdoors,54.0,4.0,72.0,45.5,-3.0,0,37.46072029887916,101.9440854779412,-20.06169187272644,12.395707499134128,24.0,27.0,22.15694654943994,24.17480859625056
2101,rav_clt_2023-09-24,/boxscores/202309240rav.htm,3.0,2,70038.0,outdoors,88.0,3.0,68.0,44.5,-7.0,1,102.5588143019856,18.1725,-11.101106785170131,-3.4290674750170584,19.0,22.0,25.56398547291009,19.24642491705246
2102,cle_rav_2023-10-01,/boxscores/202310010cle.htm,4.0,2,67919.0,outdoors,79.0,7.0,71.0,41.0,-2.0,1,91.18115950715956,102.56527131782948,-12.758037866182704,-10.363749741467782,3.0,28.0,21.24499494538969,19.761911926564864
2103,pit_rav_2023-10-08,/boxscores/202310080pit.htm,5.0,2,67272.0,outdoors,62.0,13.0,53.0,38.5,-4.0,1,88.35550411039347,103.26125589150736,-9.929071112263394,-5.765049859415304,17.0,10.0,20.668148966114067,17.69274562467711
2104,oti_rav_2023-10-15,/boxscores/202310150oti.htm,6.0,2,61011.0,outdoors,44.0,8.0,52.0,42.5,-5.0,1,48.24315980167817,103.28487277353686,0.4486631470802327,-1.3377571623262925,16.0,24.0,21.435156828436963,21.823333254196562
2105,rav_det_2023-10-22,/boxscores/202310220rav.htm,7.0,2,70989.0,outdoors,42.0,16.0,62.0,43.5,-3.0,1,103.8613246753246,45.618750000000034,-12.124357681400046,10.601721370066162,38.0,6.0,22.80666098482779,19.508844380043502
2106,crd_rav_2023-10-29,/boxscores/202310290crd.htm,8.0,2,63064.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,44.5,-9.0,1,9.069999999999972,104.77777939166091,-15.477696419784715,11.33603941724516,24.0,31.0,19.367495986723704,25.043215926973705
2107,rav_sea_2023-11-05,/boxscores/202311050rav.htm,9.0,2,70753.0,outdoors,32.0,6.0,70.0,44.5,-6.0,1,104.36982194925712,90.25268899001196,-37.50927851351471,5.433098737998404,37.0,3.0,23.66055674513524,22.556723881305057
2108,rav_cle_2023-11-12,/boxscores/202311120rav.htm,10.0,2,70424.0,outdoors,46.0,4.0,49.0,38.5,-6.0,1,106.4451072539922,91.82144476744188,-11.947451324224591,-13.333300914852398,31.0,33.0,23.407912716670726,17.857121707546963
2109,rav_cin_2023-11-16,/boxscores/202311160rav.htm,11.0,5,70997.0,outdoors,54.0,1.0,56.0,46.0,-4.0,1,105.8203893209674,33.90636017313299,-21.634223142076905,-17.7411870005498,34.0,20.0,26.24138065644837,21.452167183457057
2110,sdg_rav_2023-11-26,/boxscores/202311260sdg.htm,12.0,2,70240.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,48.0,-3.0,1,74.6463509382248,106.41871023965146,-20.41696809932847,5.507992621539223,10.0,20.0,23.635554304810736,24.23952557602566
2111,rav_ram_2023-12-10,/boxscores/202312100rav.htm,14.0,2,70492.0,outdoors,91.0,5.0,57.0,39.5,-7.0,1,106.72293024992568,98.52385353535357,-4.087430974541844,-15.933658518010107,37.0,31.0,24.04874515303773,17.921705266839155
2112,jax_rav_2023-12-17,/boxscores/202312170jax.htm,15.0,2,68021.0,outdoors,81.0,13.0,58.0,42.0,-3.0,1,75.23044512460645,106.74540223543094,-25.127175266283384,13.45026703151346,7.0,23.0,19.97821984474386,21.379175713542228
2113,sfo_rav_2023-12-25,/boxscores/202312250sfo.htm,16.0,1,71812.0,outdoors,60.0,8.0,56.0,46.5,-6.0,0,123.11796422295052,106.97719739418316,5.102035791232168,4.505580516867414,19.0,33.0,24.132954996310392,22.04028005532123
2114,rav_pit_2024-01-06,/boxscores/202401060rav.htm,18.0,3,70355.0,outdoors,91.0,15.0,38.0,34.5,-3.0,0,106.99100912092214,86.25032417625309,-9.360621216128193,-9.41334929736446,10.0,17.0,21.823114280592574,16.864034915404428
2115,rav_htx_2024-01-20,/boxscores/202401200rav.htm,21.0,3,71018.0,outdoors,40.0,16.0,27.0,43.5,-9.0,1,106.3788024076278,82.97423611111114,-17.179175887409777,-11.196480445489351,34.0,10.0,25.134554794819888,19.65394281974969
2116,rav_kan_2024-01-28,/boxscores/202401280rav.htm,,2,71439.0,outdoors,83.0,7.0,47.0,44.0,-4.0,1,107.06350570243548,95.657250902351,6.947525179103888,-19.899035026918845,10.0,17.0,24.53875609577788,20.807267877929586
2117,pit_cle_2023-09-18,/boxscores/202309180pit.htm,2.0,1,67576.0,outdoors,66.0,6.0,62.0,39.0,-2.0,1,91.25255753391475,83.84180430152685,-7.532257961086476,-29.072274917736543,26.0,22.0,23.15338361559465,18.149947008706402
2118,cle_oti_2023-09-24,/boxscores/202309240cle.htm,3.0,2,67919.0,outdoors,69.0,5.0,68.0,38.0,-3.0,1,86.48890044555837,49.35775873949965,-10.875114524452371,-5.791661773687372,27.0,3.0,21.738287917134006,16.948856282615033
2119,cle_sfo_2023-10-15,/boxscores/202310150cle.htm,6.0,2,67431.0,outdoors,70.0,15.0,53.0,35.5,-9.0,0,87.97827976190473,121.36957295296168,-24.54171606606631,-12.085639167858092,19.0,17.0,20.51821810168135,18.31011010721259
2120,clt_cle_2023-10-22,/boxscores/202310220clt.htm,7.0,2,65552.0,retractable roof (open),59.4390243902439,8.56071964017991,58.11832611832612,39.5,-3.0,1,51.336666666666616,89.78853733708038,-26.567708861231058,-2.490568741675058,38.0,39.0,21.873488172409182,21.28775841013703
2121,sea_cle_2023-10-29,/boxscores/202310290sea.htm,8.0,2,68807.0,outdoors,60.0,3.0,47.0,39.5,-4.0,0,90.50446584067576,87.04969989629242,-10.581299473851152,-20.014006599928244,24.0,20.0,22.608370194330234,17.842571146692276
2122,cle_crd_2023-11-05,/boxscores/202311050cle.htm,9.0,2,67919.0,outdoors,58.0,7.0,56.0,38.5,-13.0,1,87.14423708599907,21.169583333333343,-12.702074104525549,-19.65674292816692,27.0,0.0,25.48409834345131,14.258790945439474
2123,cle_pit_2023-11-19,/boxscores/202311190cle.htm,11.0,2,67919.0,outdoors,67.0,11.0,48.0,33.0,-2.0,1,92.61650994147794,86.12558423837372,-40.8994737163262,-4.1872038531745215,13.0,10.0,20.784776938351335,19.351420702127687
2124,den_cle_2023-11-26,/boxscores/202311260den.htm,12.0,2,76261.0,outdoors,37.0,5.0,40.0,37.0,-1.0,0,101.0552430721178,92.50113611329664,-7.639003886953966,-31.735321384675235,29.0,12.0,22.592910296513374,17.953436714621734
2125,ram_cle_2023-12-03,/boxscores/202312030ram.htm,13.0,2,72887.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,40.5,-4.0,0,98.0546248752375,91.46016218081434,-0.6047317461228099,-4.362049651162354,36.0,19.0,23.205598911860907,20.216750586132765
2126,cle_jax_2023-12-10,/boxscores/202312100cle.htm,14.0,2,67431.0,outdoors,70.0,11.0,39.0,34.0,-2.0,1,89.71646070795339,76.12737295271785,-33.304387393635864,11.94670276814067,31.0,27.0,20.220223382866834,19.214123541925982
2127,cle_chi_2023-12-17,/boxscores/202312170cle.htm,15.0,2,67919.0,outdoors,84.0,15.0,45.0,38.0,-3.0,1,90.91147435897427,25.22051578947369,-20.852218222049363,-8.328109228389595,20.0,17.0,22.17952993490819,15.98700037491508
2128,htx_cle_2023-12-24,/boxscores/202312240htx.htm,16.0,2,70831.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,40.0,-3.0,1,89.51226190476176,92.7747023809524,-22.202926722898837,-3.690176101185683,22.0,36.0,21.562522773289125,20.300135698641448
2129,cin_cle_2024-01-07,/boxscores/202401070cin.htm,18.0,2,65865.0,outdoors,74.0,12.0,38.0,37.0,-7.0,0,32.982029569892504,96.04672634271104,-10.86061294314051,-2.157640040577148,31.0,14.0,20.12016368012187,21.016385177782976
2130,htx_cle_2024-01-13,/boxscores/202401130htx.htm,20.0,3,71946.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,44.5,-2.0,1,80.52166013071891,94.09985785953177,-10.587168329206271,-0.5266552751405238,45.0,14.0,23.091717868437676,21.917911720645233
2131,rai_pit_2023-09-24,/boxscores/202309240rai.htm,3.0,2,62541.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,43.5,-3.0,0,40.17223997493737,90.22441329479766,-53.12451135320576,17.18395328566897,18.0,23.0,21.048713656292385,24.952029725198564
2132,htx_pit_2023-10-01,/boxscores/202310010htx.htm,4.0,2,71399.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,41.5,-3.0,1,66.61499999999995,89.94310167992927,-23.90823178620029,9.704892098564931,30.0,6.0,21.16789742058528,21.701746987730232
2133,ram_pit_2023-10-22,/boxscores/202310220ram.htm,7.0,2,73471.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,43.5,-3.0,0,100.67051699100696,88.01411042678697,-16.81312479021121,-17.104734518580088,17.0,24.0,24.384793655493578,21.33058215383042
2134,pit_jax_2023-10-29,/boxscores/202310290pit.htm,8.0,2,67225.0,outdoors,95.0,2.0,58.0,40.5,-2.0,0,87.60958269131999,76.21515963203464,-7.96077436964511,-4.10644646835989,10.0,20.0,22.276323641288503,19.500740747053626
2135,pit_oti_2023-11-02,/boxscores/202311020pit.htm,9.0,5,65969.0,outdoors,58.0,5.0,40.0,36.5,-3.0,1,86.78439891864492,47.58448367812348,-22.360904525600446,-17.673009129459672,20.0,16.0,22.18915676427982,16.845684042266107
2136,pit_gnb_2023-11-12,/boxscores/202311120pit.htm,10.0,2,67617.0,outdoors,58.0,5.0,50.0,38.5,-3.0,1,86.60913820812769,89.64214656314398,-16.495092486010638,-26.56791900345221,23.0,19.0,22.559613332829027,17.36923850607042
2137,cin_pit_2023-11-26,/boxscores/202311260cin.htm,12.0,2,65090.0,outdoors,78.0,9.0,48.0,36.5,-2.0,1,32.504673934048334,85.92938084160673,-18.80893286323882,-4.77977445491033,10.0,16.0,20.857628019952493,21.0706142180737
2138,pit_crd_2023-12-03,/boxscores/202312030pit.htm,13.0,2,66436.0,outdoors,88.0,12.0,56.0,41.0,-6.0,1,86.98117967553745,-4.868035714285718,-18.595139097659292,-2.174381023121182,10.0,24.0,23.645200664416606,17.829418096387833
2139,clt_pit_2023-12-16,/boxscores/202312160clt.htm,15.0,2,64171.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,42.5,-1.0,0,44.79499999999999,86.65921142369999,-30.90854362345348,4.537250828233739,30.0,13.0,20.43447831669267,23.577504428233706
2140,pit_cin_2023-12-23,/boxscores/202312230pit.htm,16.0,3,66646.0,outdoors,54.0,5.0,49.0,38.0,-2.0,0,85.59200980097839,34.12708794979322,-29.9742879811738,-0.249745264440679,34.0,11.0,21.596623226154318,17.804158555402445
2141,sea_pit_2023-12-31,/boxscores/202312310sea.htm,17.0,2,68735.0,outdoors,83.0,4.0,47.0,40.5,-4.0,0,85.69515263197077,85.76396724673475,-28.980460931241023,-0.8567114794245652,23.0,30.0,21.68192742956762,20.91517151576501
2142,cin_ram_2023-09-25,/boxscores/202309250cin.htm,3.0,1,65158.0,outdoors,62.0,7.0,74.0,45.5,-3.0,1,35.968836103483106,102.48993348115302,-2.376497688236044,3.0323811669263416,19.0,16.0,21.91825242961564,23.932139390044593
2143,oti_cin_2023-10-01,/boxscores/202310010oti.htm,4.0,2,68951.0,outdoors,50.0,4.0,82.0,41.5,-2.0,1,46.42504174093881,36.68076419413914,-19.78350804943033,2.090288245324631,27.0,3.0,21.685777926137703,21.182800320209505
2144,crd_cin_2023-10-08,/boxscores/202310080crd.htm,5.0,2,62651.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,45.5,-3.0,1,24.30583333333332,34.209396722939424,-1.9584847773110503,-10.89385271977454,20.0,34.0,23.54467063533063,21.461543454644122
2145,cin_sea_2023-10-15,/boxscores/202310150cin.htm,6.0,2,66385.0,outdoors,59.0,15.0,57.0,45.5,-3.0,1,36.054342563566685,89.38852922030298,-14.899948846921111,5.000388060054812,17.0,13.0,22.067058393973184,23.91600847558328
2146,sfo_cin_2023-10-29,/boxscores/202310290sfo.htm,8.0,2,71655.0,outdoors,15.0,10.0,74.0,44.5,-4.0,0,118.13750787028546,34.25574347121808,-17.00757306061468,-4.786568938369103,17.0,31.0,23.18480332707829,19.443865573572104
2147,cin_htx_2023-11-12,/boxscores/202311120cin.htm,10.0,2,66526.0,outdoors,42.0,6.0,56.0,45.5,-5.0,1,35.618599238875895,86.3133333333333,-8.833289421726576,-2.128248839628325,27.0,30.0,22.817971819164544,23.23785379668405
