coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,home,201309290buf,2013-09-29,MarrDo0,buf,2013
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201309290cle,2013-09-29,LewiMa0,cin,2013
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201309290cle,2013-09-29,ChudRo0,cle,2013
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201309290den,2013-09-29,KellCh0,phi,2013
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201309290den,2013-09-29,FoxxJo0,den,2013
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,away,201309290det,2013-09-29,TresMa0,chi,2013
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,home,201309290det,2013-09-29,SchwJi0,det,2013
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201309290htx,2013-09-29,CarrPe0,sea,2013
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,home,201309290htx,2013-09-29,KubiGa0,htx,2013
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201309290jax,2013-09-29,PagaCh0,clt,2013
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,home,201309290jax,2013-09-29,BradGu0,jax,2013
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201309290kan,2013-09-29,CougTo0,nyg,2013
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201309290kan,2013-09-29,ReidAn0,kan,2013
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201309290min,2013-09-29,TomlMi0,pit,2013
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201309290min,2013-09-29,FrazLe0,min,2013
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,away,201309290oti,2013-09-29,RyanRe0,nyj,2013
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201309290oti,2013-09-29,MuncMi0,oti,2013
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,away,201309290rai,2013-09-29,ShanMi0,was,2013
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201309290rai,2013-09-29,AlleDe0,rai,2013
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,away,201309290sdg,2013-09-29,GarrJa0,dal,2013
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,home,201309290sdg,2013-09-29,McCoMi1,sdg,2013
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201309290tam,2013-09-29,AriaBr0,crd,2013
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201309290tam,2013-09-29,SchiGr0,tam,2013
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,away,201309300nor,2013-09-30,PhilJo0,mia,2013
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,home,201309300nor,2013-09-30,PaytSe0,nor,2013
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201310030cle,2013-10-03,MarrDo0,buf,2013
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201310030cle,2013-10-03,ChudRo0,cle,2013
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201310060chi,2013-10-06,PaytSe0,nor,2013
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,home,201310060chi,2013-10-06,TresMa0,chi,2013
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201310060cin,2013-10-06,BeliBi0,nwe,2013
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201310060cin,2013-10-06,LewiMa0,cin,2013
