Coach,Team,Season,Season_Games,Season_Wins,Season_Losses,Season_Ties,Playoff_Games,Playoff_Wins,Playoff_Losses
Sean McVay,LAR,2017,16,11,5,0,1.0,0.0,1.0
Adam Gase,MIA,2017,16,6,10,0,,,
Mike Zimmer,MIN,2017,16,13,3,0,2.0,1.0,1.0
Sean Payton,NOR,2017,16,11,5,0,2.0,1.0,1.0
Bill Belichick,NWE,2017,16,13,3,0,3.0,2.0,1.0
Steve Spagnuolo,NYG,2017,4,1,3,0,,,
Ben McAdoo,NYG,2017,12,2,10,0,,,
Todd Bowles,NYJ,2017,16,5,11,0,,,
Jack Del Rio,OAK,2017,16,6,10,0,,,
Doug Pederson,PHI,2017,16,13,3,0,3.0,3.0,0.0
Mike Tomlin,PIT,2017,16,13,3,0,1.0,0.0,1.0
Pete Carroll,SEA,2017,16,9,7,0,,,
Kyle Shanahan,SFO,2017,16,6,10,0,,,
Dirk Koetter,TAM,2017,16,5,11,0,,,
Mike Mularkey,TEN,2017,16,9,7,0,2.0,1.0,1.0
Jay Gruden,WAS,2017,16,7,9,0,,,
Bruce Arians,ARI,2016,16,7,8,1,,,
Dan Quinn,ATL,2016,16,11,5,0,3.0,2.0,1.0
John Harbaugh,BAL,2016,16,8,8,0,,,
Anthony Lynn,BUF,2016,1,0,1,0,0.0,0.0,0.0
Rex Ryan,BUF,2016,15,7,8,0,0.0,0.0,0.0
Ron Rivera,CAR,2016,16,6,10,0,,,
John Fox,CHI,2016,16,3,13,0,,,
Marvin Lewis,CIN,2016,16,6,9,1,,,
Hue Jackson,CLE,2016,16,1,15,0,,,
Jason Garrett,DAL,2016,16,13,3,0,1.0,0.0,1.0
Gary Kubiak,DEN,2016,16,9,7,0,,,
Jim Caldwell,DET,2016,16,9,7,0,1.0,0.0,1.0
Mike McCarthy,GNB,2016,16,10,6,0,3.0,2.0,1.0
Bill O'Brien,HOU,2016,16,9,7,0,2.0,1.0,1.0
Chuck Pagano,IND,2016,16,8,8,0,,,
Gus Bradley,JAX,2016,14,2,12,0,0.0,0.0,0.0
Doug Marrone,JAX,2016,2,1,1,0,,,
Andy Reid,KAN,2016,16,12,4,0,1.0,0.0,1.0
Jeff Fisher,LAR,2016,13,4,9,0,0.0,0.0,0.0
John Fassel,LAR,2016,3,0,3,0,,,
Adam Gase,MIA,2016,16,10,6,0,1.0,0.0,1.0
Mike Zimmer,MIN,2016,16,8,8,0,,,
Sean Payton,NOR,2016,16,7,9,0,,,
Bill Belichick,NWE,2016,16,14,2,0,3.0,3.0,0.0
Ben McAdoo,NYG,2016,16,11,5,0,1.0,0.0,1.0
Todd Bowles,NYJ,2016,16,5,11,0,,,
Jack Del Rio,OAK,2016,16,12,4,0,1.0,0.0,1.0
Doug Pederson,PHI,2016,16,7,9,0,,,
Mike Tomlin,PIT,2016,16,11,5,0,3.0,2.0,1.0
Mike McCoy,SDG,2016,16,5,11,0,,,
Pete Carroll,SEA,2016,16,10,5,1,2.0,1.0,1.0
Chip Kelly,SFO,2016,16,2,14,0,,,
Dirk Koetter,TAM,2016,16,9,7,0,,,
Mike Mularkey,TEN,2016,16,9,7,0,,,
Jay Gruden,WAS,2016,16,8,7,1,,,
Bruce Arians,ARI,2013,16,10,6,0,0.0,0.0,0.0
