coach_name,coach_link,team_link,home_away,boxscore_id,date
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,away,201310130kan,2013-10-13
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201310130kan,2013-10-13
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,away,201310130min,2013-10-13
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201310130min,2013-10-13
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201310130nwe,2013-10-13
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201310130nwe,2013-10-13
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201310130nyj,2013-10-13
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201310130nyj,2013-10-13
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,away,201310130rav,2013-10-13
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,home,201310130rav,2013-10-13
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,away,201310130sea,2013-10-13
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,home,201310130sea,2013-10-13
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201310130sfo,2013-10-13
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201310130sfo,2013-10-13
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201310130tam,2013-10-13
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201310130tam,2013-10-13
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201310140sdg,2013-10-14
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,home,201310140sdg,2013-10-14
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201310170crd,2013-10-17
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,home,201310170crd,2013-10-17
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,away,201310200atl,2013-10-20
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201310200atl,2013-10-20
